"MAIN","DESCRIPTION","VISIBILITY","PROBABILITY_OF_PRECIPITATION","DATE","HOUR_INTERVAL","TEMP","FEELS_LIKE","TEMP_MIN","TEMP_MAX","PRESSURE","LIST.MAIN.SEA_LEVEL","GRND_LEVEL","HUMIDITY","TEMP_KF","CLOUDS_ALL","WIND_SPEED","WIND_DEG","WIND_GUST","SYS_POD","RAIN_OVER_3H","CITY.NAME","CITY.COORD.LAT","CITY.COORD.LON","CITY.COUNTRY","CITY.POPULATION","CITY.TIMEZONE","CITY.SUNRISE","CITY.SUNSET"
"Clear","clear sky",10000,0,2024-11-06,21:00:00,23.19,23.39,23.19,23.19,1016,1016,1010,70,0,4,1.91,356,3.18,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","few clouds",10000,0,2024-11-07,00:00:00,30.84,31,30.84,30.84,1014,1014,1008,42,0,17,1.86,18,2.99,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","overcast clouds",10000,0,2024-11-07,03:00:00,30.12,31.23,30.12,30.12,1011,1011,1006,50,0,100,6.16,54,5.35,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-07,06:00:00,27.87,29.26,27.87,27.87,1010,1010,1004,60,0,78,6.65,31,9.75,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-07,09:00:00,24.31,24.83,24.31,24.31,1010,1010,1005,78,0,6,5.93,26,12.65,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clear","clear sky",10000,0,2024-11-07,12:00:00,23.89,24.32,23.89,23.89,1011,1011,1006,76,0,4,3.03,21,5.99,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-07,15:00:00,23.04,23.46,23.04,23.04,1011,1011,1005,79,0,37,1.74,352,3.2,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-07,18:00:00,21.57,21.98,21.57,21.57,1010,1010,1005,84,0,46,2.17,9,4.88,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-07,21:00:00,25.07,25.36,25.07,25.07,1013,1013,1007,66,0,66,1.94,320,4.45,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","scattered clouds",10000,0,2024-11-08,00:00:00,33.37,33.93,33.37,33.37,1010,1010,1005,38,0,46,2.73,302,4.74,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,03:00:00,33.42,34.46,33.42,33.42,1007,1007,1002,40,0,53,4.92,46,6.43,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,06:00:00,31.88,33.05,31.88,31.88,1005,1005,1000,45,0,67,3.73,38,4.45,"d",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
"Clouds","broken clouds",10000,0,2024-11-08,09:00:00,28.16,29.57,28.16,28.16,1008,1008,1003,59,0,53,1.45,56,2.78,"n",0,"Brisbane",-27.4679,153.0281,"AU",958504,36000,2024-11-03 18:54:38,2024-11-04 08:08:13
